Kod,Nazwa,JM,WysokoscCm,SzerokoscCm,DlugoscCm,JmZ,Przelicznik_JmJmZ,WagaKG,Typ,NumerKatalogowy,SWW,Grupa,StanMin,StanMax,VAT,VATZak,VATFlaga,VatZakFlaga,EAN,Opis,OpakowanieKaucja,OdwrotneObciazenie,CenaZCzteremaMiejscami,Granica ceny,Minimalna cena/mar¿a,Dostawca,Kod u dostawcy,Kod producenta,KosztUslugiTyp,KosztUslugi,KosztUslugiWal,Waluta,Intrastat - kod CN,Intrastat - kraj pochodzenia,Intrastat - masa,Intrastat - JmPomPrzelicznikL,Intrastat - JmPomPrzelicznikM,Podzielona p³atnoœæ,Cena zakupu,Waluta Cena zakupu,Cena hurtowa 1,Waluta Cena hurtowa 1,Cena hurtowa 2,Waluta Cena hurtowa 2,Cena hurtowa 3,Waluta Cena hurtowa 3,Cena detaliczna,Waluta Cena detaliczna
1066-uniw,"Atomic 2340 - 12 strza³ów 1.1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,30,PLN,0,PLN,0,PLN,36.9,PLN
1067-uniw,"Bandit 381F - 104 strza³y 0.9""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,150.41,PLN,0,PLN,0,PLN,185,PLN
1068-uniw,"Blow Out 248 - 66 strza³ów 0.9""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,75.53,PLN,0,PLN,0,PLN,92.9,PLN
1069-uniw,"Bomb Extreme 363 - 37 strza³ów 1.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,218.7,PLN,0,PLN,0,PLN,269,PLN
106-uniw,"X-smart TXB852 - 36 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160218529,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,61.77,PLN,150.41,PLN,0,PLN,0,PLN,185,PLN
1070-uniw,"Showtime VA81002001 - 100 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,113.01,PLN,0,PLN,0,PLN,139,PLN
1071-uniw,Sledgehammer 287F- 107 strza³ów MIX,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,179.67,PLN,0,PLN,0,PLN,221,PLN
1072-uniw,"Bombard 5.0 - 9 strza³ów 1.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,62.2,PLN,0,PLN,0,PLN,76.5,PLN
1073-uniw,"Broadway 289F - 40 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,84.55,PLN,0,PLN,0,PLN,104,PLN
1074-uniw,"Hultaj VA8162001 - 16 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906660392125,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,20.24,PLN,0,PLN,0,PLN,24.9,PLN
1075-uniw,"Jokker VA8492501 - 49 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,78.05,PLN,0,PLN,0,PLN,96,PLN
1076-uniw,"Lion 259F - 60 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,83.74,PLN,0,PLN,0,PLN,103,PLN
1077-uniw,"Megablast 246 - 34 strza³y 0.7""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,34.15,PLN,0,PLN,0,PLN,42,PLN
1078-uniw,Du¿e strzelaj¹ce diabe³ki TP15 - BOX,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,43.9,PLN,0,PLN,0,PLN,54,PLN
